"record_id","ed","np"
905988587,160.296474358974,250
905992285,160.296474358974,250
905992924,160.296474358974,250
905992956,160.296474358974,250
905992957,160.296474358974,250
905993719,160.296474358974,250
905993780,160.296474358974,250
905993853,160.296474358974,250
905998169,160.296474358974,250
905999656,160.296474358974,250
906001300,160.296474358974,250
906010049,160.296474358974,250
906010050,160.296474358974,250
906021294,160.296474358974,250
906026040,114.345281052041,266
906026335,160.296474358974,250
906026897,160.296474358974,250
906029661,114.345281052041,266
906031121,135.694277711084,219
906031192,132.829071116981,255
906032416,132.829071116981,255
906032434,114.345281052041,266
906033099,114.345281052041,266
906033549,114.345281052041,266
906034690,144.081371135672,191
906036162,114.345281052041,266
906037064,147.652893225716,240
906037065,147.652893225716,240
906037220,132.829071116981,255
906037244,132.829071116981,255
906037432,144.081371135672,191
906037433,144.081371135672,191
906037434,121.661244326626,192
906037435,121.661244326626,192
906037587,121.661244326626,192
906037588,121.661244326626,192
906037722,144.081371135672,191
906037957,127.085338466474,183
906037958,129.54053403897,181
906038309,114.345281052041,266
906038310,104.76534006653,239
906038340,132.137554672766,202
906038646,147.652893225716,240
906038647,147.652893225716,240
906039027,144.081371135672,191
906039088,127.085338466474,183
906039104,115.6961822265,245
906039325,127.085338466474,183
906039439,147.652893225716,240
906039576,114.345281052041,266
906039577,104.76534006653,239
906039598,132.137554672766,202
906039599,132.137554672766,202
906039669,132.137554672766,202
906039670,132.137554672766,202
906039770,127.085338466474,183
906039771,139.377157075207,208
906039802,114.345281052041,266
906039803,114.345281052041,266
906039804,104.76534006653,239
906039805,104.76534006653,239
906039806,104.76534006653,239
906039807,104.76534006653,239
906039808,104.76534006653,239
906039809,104.76534006653,239
906039856,104.76534006653,239
906039857,104.76534006653,239
906040219,132.137554672766,202
906040221,127.085338466474,183
906040222,139.377157075207,208
906040247,152.50911129801,234
906040282,115.6961822265,245
906040283,115.6961822265,245
906040284,115.6961822265,245
906040285,115.6961822265,245
906040327,147.934447249269,211
906040342,127.085338466474,183
906040343,129.54053403897,181
906040344,139.377157075207,208
906040353,134.440300004011,303
906040354,134.440300004011,303
906040368,151.322115384615,287
906040384,132.829071116981,255
906040389,135.694277711084,219
906040390,135.694277711084,219
906040694,121.661244326626,192
906040695,144.081371135672,191
906040912,135.694277711084,219
906040913,135.694277711084,219
906041042,121.661244326626,192
906041043,144.081371135672,191
906041169,151.322115384615,287
906041170,151.322115384615,287
906041171,159.67127680898,345
906041173,159.67127680898,345
906041320,151.322115384615,287
906041615,151.322115384615,287
906041617,157.704799711296,330
906041644,147.652893225716,240
906042011,115.6961822265,245
906042040,134.440300004011,303
906042041,134.440300004011,303
906042278,135.694277711084,219
906042279,135.694277711084,219
906042657,144.081371135672,191
906043163,134.440300004011,303
906043179,157.704799711296,330
906043191,126.384207992297,180
906043410,157.704799711296,330
906043411,157.704799711296,330
906043440,115.6961822265,245
906043814,127.085338466474,183
906043815,129.54053403897,181
906043816,139.377157075207,208
906043819,134.440300004011,303
906043837,104.76534006653,239
906043838,104.76534006653,239
906043852,121.661244326626,192
906043912,147.934447249269,211
906044315,138.414683016751,211
906044344,126.384207992297,180
906044402,119.491559404948,158
906044415,119.491559404948,158
906044512,141.849089888541,220
906044513,141.849089888541,220
906044599,147.934447249269,211
906044673,135.694277711084,219
906044687,132.137554672766,202
906044789,147.652893225716,240
906044823,129.54053403897,181
906044824,139.377157075207,208
906044859,147.934447249269,211
