"record_id","collection","project_id","protocol_id","protocol_type","species_id","statprov_code","country_code","SiteCode","bcr","subnational2_code","iba_site","utm_square","survey_year","survey_month","survey_week","survey_day","breeding_rank","GlobalUniqueIdentifier","CatalogNumber","Locality","TimeCollected","CollectorNumber","FieldNumber","Remarks","ProjectCode","ProtocolType","ProtocolCode","ProtocolURL","SurveyAreaIdentifier","SamplingEventIdentifier","SamplingEventStructure","RouteIdentifier","TimeObservationsStarted","TimeObservationsEnded","DurationInHours","TimeIntervalStarted","TimeIntervalEnded","TimeIntervalsAdditive","NumberOfObservers","NoObservations","ObservationCount","ObservationDescriptor","ObservationCount2","ObservationDescriptor2","ObservationCount3","ObservationDescriptor3","ObservationCount4","ObservationDescriptor4","ObservationCount5","ObservationDescriptor5","ObservationCount6","ObservationDescriptor6","AllIndividualsReported","AllSpeciesReported","date","doy","OBJECTID","BAID","PLACE_TYPE","TYPE_DE_LI","DESC_EN","DESC_FR","Public_Inf","Shape__Are","Shape__Len","scientific_name","english_name","french_name","taxon_group","geometry"
906001300,"QCATLAS2PC",1035,NA,1,13640,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,10,"URN:catalog:QCATLAS:QCATLAS2PC:433299-GEBL","433299-GEBL","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Cyanocitta cristata","Blue Jay","Geai bleu","BIRDS",c(-72.968979, 46.650146)
906010049,"QCATLAS2PC",1035,NA,1,17000,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-PAMA","433299-PAMA","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Geothlypis trichas","Common Yellowthroat","Paruline masquée","BIRDS",c(-72.968979, 46.650146)
906010050,"QCATLAS2PC",1035,NA,1,10300,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,10,"URN:catalog:QCATLAS:QCATLAS2PC:433299-PICH","433299-PICH","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Dryobates villosus","Hairy Woodpecker","Pic chevelu","BIRDS",c(-72.968979, 46.650146)
906021294,"QCATLAS2PC",1035,NA,1,16690,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-PAGO","433299-PAGO","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Setophaga fusca","Blackburnian Warbler","Paruline à gorge orangée","BIRDS",c(-72.968979, 46.650146)
906026040,"QCATLAS2PC",1035,NA,1,19030,"QC","CA","18XS47-XX",12,"CA.QC.CM","N/A","18TXS47",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434751-BRGB","434751-BRGB","Atlas Square 18XS47","8.58333","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS47","434751",NA,"18XS47","8.58333","8.66667","0.08333333","8.58333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Zonotrichia albicollis","White-throated Sparrow","Bruant à gorge blanche","BIRDS",c(-73.054123, 46.754395)
906026335,"QCATLAS2PC",1035,NA,1,41384,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-VIYR","433299-VIYR","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Vireo olivaceus","Red-eyed Vireo","Viréo aux yeux rouges","BIRDS",c(-72.968979, 46.650146)
906026897,"QCATLAS2PC",1035,NA,1,40702,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-TRMI","433299-TRMI","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Troglodytes hiemalis","Winter Wren","Troglodyte des forêts","BIRDS",c(-72.968979, 46.650146)
906029661,"QCATLAS2PC",1035,NA,1,14450,"QC","CA","18XS47-XX",12,"CA.QC.CM","N/A","18TXS47",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434751-GRBR","434751-GRBR","Atlas Square 18XS47","8.58333","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS47","434751",NA,"18XS47","8.58333","8.66667","0.08333333","8.58333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Certhia americana","Brown Creeper","Grimpereau brun","BIRDS",c(-73.054123, 46.754395)
906031121,"QCATLAS2PC",1035,NA,1,15580,"QC","CA","18XS67-XX",12,"CA.QC.CM","N/A","18TXS67",2014,6,2,11,10,"URN:catalog:QCATLAS:QCATLAS2PC:434744-GRDO","434744-GRDO","Atlas Square 18XS67","8.15","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS67","434744",NA,"18XS67","8.15","8.23333","0.08333333","8.15",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-11,162,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Catharus ustulatus","Swainson's Thrush","Grive à dos olive","BIRDS",c(-72.9039, 46.727081)
906031192,"QCATLAS2PC",1035,NA,1,16600,"QC","CA","18XS67-XX",12,"CA.QC.CM","N/A","18TXS67",2014,6,1,5,10,"URN:catalog:QCATLAS:QCATLAS2PC:434726-PABL","434726-PABL","Atlas Square 18XS67","8.71667","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS67","434726",NA,"18XS67","8.71667","8.8","0.08333333","8.71667",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-05,156,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Setophaga caerulescens","Black-throated Blue Warbler","Paruline bleue","BIRDS",c(-72.851532, 46.703106)
