"point_id","ed","np","pland_needleleaf","pland_broadleaf","pland_mixed forest","pland_shrubland","pland_grassland","pland_wetland","pland_barren","pland_urban","pland_water"
44,118.574696039485,192,22.6555916696762,5.88660166124955,58.2159624413146,0.445407487661009,NA,NA,NA,0.361141206211629,12.4352955338871
45,120.898515844364,253,23.3453670276775,1.48014440433213,65.9927797833935,1.8531889290012,0.1323706377858,NA,NA,0.0240673886883273,7.17208182912154
193,157.723772858518,342,10.4667949951877,22.4133782483157,57.2906641000962,3.36862367661213,0.276708373435996,0.0120307988450433,NA,0.312800769971126,5.85899903753609
66,121.507707129094,206,17.6541425818882,6.84007707129094,60.657514450867,0.264932562620424,0.32514450867052,0.0722543352601156,NA,0.505780346820809,13.6801541425819
46,136.0847070148,323,26.0377812537601,2.71928769101191,59.6799422452172,2.70725544459151,0.204548189146914,NA,NA,0.0360967392612201,8.61508843701119
194,159.702990166566,345,9.52438290186635,23.5400361228176,57.0138470800722,4.17820590006021,0.240818783865142,0.0120409391932571,NA,0.313064419024684,5.17760385310054
195,138.277837881156,313,5.37324197619906,23.0676764034139,38.8267820651521,3.52205793965621,0.564971751412429,NA,NA,0.0240413511239332,28.6212285130424
47,122.655122655123,182,26.3347763347763,3.87205387205387,59.4035594035594,0.264550264550265,0.216450216450216,NA,NA,0.0962000962000962,9.81240981240981
196,151.577173127859,302,10.4984348663617,21.9359499157236,56.3688899590657,2.76908259089815,0.288947748615459,0.0120394895256441,NA,0.26486876956417,7.86178666024561
197,159.020670278948,342,8.71763997591812,25.4665863937387,55.7615894039735,4.63576158940397,0.228777844671884,0.0120409391932571,NA,0.313064419024684,4.86453943407586
48,123.705131293664,251,21.4767525897374,3.78222115152975,58.9376053962901,1.32498193206456,0.156588773789448,NA,NA,0.0240905805829921,14.2977595760058
49,125.75210589651,168,27.280385078219,4.48856799037304,57.8459687123947,0.397111913357401,0.0120336943441637,NA,NA,0.036101083032491,9.93983152827918
50,119.879518072289,185,24.566265060241,4.8433734939759,57.7228915662651,0.409638554216868,0.301204819277109,NA,NA,0.0963855421686747,12.0602409638554
198,143.195029063941,299,3.84846662657847,28.2982561635598,33.9025856885147,3.60793746241732,0.240529164161155,NA,NA,0.877931449188214,29.2242934455803
51,117.29805572259,223,23.4996993385448,1.33493686109441,67.3722188815394,1.35898977751052,0.0721587492483464,NA,NA,0.0120264582080577,6.34996993385448
67,124.22783794625,189,17.2202166064982,10.9867629362214,56.3898916967509,0.204572803850782,0.300842358604091,0.072202166064982,NA,0.481347773766546,14.3441636582431
52,115.349135683632,184,22.5604620382625,6.16051016724823,56.9004933221032,0.421128624714234,NA,NA,NA,0.360967392612201,13.5964384550596
112,130.523780854907,231,30.9331727874774,6.05659241420831,58.8320288982541,0.830824804334738,0.349187236604455,NA,NA,0.614087898856111,2.3841059602649
113,129.979540257552,190,22.0844867011674,13.3710434468648,52.8102058009387,0.13238656878084,0.19256228186304,NA,NA,0.67396798652064,10.7353472138645
199,157.685831128217,330,7.3851335097426,25.6675487130142,49.2662978109213,3.51214818378638,0.613423141688718,0.0360837142169834,NA,0.0240558094779889,13.4953091171518
200,118.82140709561,255,8.92363199037884,8.97173782321106,74.0709561034275,1.77991581479254,0.481058328322309,NA,0.0120264582080577,1.51533373421527,4.24533974744438
114,130.563917318884,231,30.9090909090909,6.05659241420831,58.8561107766406,0.830824804334738,0.349187236604455,NA,NA,0.614087898856111,2.3841059602649
201,136.065048465914,322,5.14299447248258,20.1153568853641,40.6512857486181,3.72506608988224,0.540735400144196,NA,NA,0.0240326844508532,29.8005287190579
202,137.627934978928,240,8.85009030704395,33.6544250451535,53.7266706803131,1.69777242624925,0.421432871763998,NA,NA,0.0120409391932571,1.63756773028296
203,155.518126403593,343,6.19586140519731,26.7444658325313,43.3830606352262,5.12512030798845,0.0842155919153032,NA,NA,0.120307988450433,18.3469682386911
68,144.003208985158,237,28.7966305655836,5.89651022864019,62.2984356197353,0.421179302045728,0.0962695547533093,NA,NA,0.385078219013237,2.10589651022864
204,157.704799711296,330,7.38602189341994,25.6586070010826,49.2842535787321,3.51257067244076,0.613496932515337,0.0360880548538434,NA,0.0240587032358956,13.4849031637195
205,163.018202229172,350,7.73394274717344,26.4132788068318,49.4226605725283,3.66851094539331,0.625451046427712,0.0360837142169834,NA,0.0481116189559779,12.0519605484725
206,159.67127680898,345,9.32050511124474,23.6440168370415,57.2699939867709,4.46181599518942,0.216476247745039,0.0120264582080577,NA,0.348767288033674,4.72639807576669
115,134.583784217065,205,35.469520259709,2.57304316460262,57.1239629674161,0.805578934712036,0.348683419502224,NA,NA,0.372730551881688,3.30648070217627
